comid,huc8_from,huc8_to
15823185,03150104,03150105
15823711,03150105,03150106
16628458,03080102,03080103
16659839,03080103, 
16683705,03080201,03080202
16715394,03090102,03090201
16742573,03090201,03090206
16745789,03090203, 
16770856,03090204, 
16817635,03100101,03100103
16841444,03100102,03100103
16864709,03100201,03100206
16875696,03100202,03100206
16884000,03100203,03100206
16910627,03100205,03100206
16917996,03100206, 
16918808,03100204,03100206
16933154,03100207, 
16944504,03100208, 
18082798,03170009, 
18096351,03170008,03170006
18107280,03170007,03170006
18122652,03170006,03170009
18136682,03170005,03170006
18157143,03170004,03170005
18173616,03170003,03170006
18182355,03170002,03170003
18195265,03170001,03170002
18229909,03160112,03160113
18242767,03150204,03160204
18253067,03070205, 
18257825,03070204,03070203
18516172,03160205,03170009
18524207,03160204,03160205
18533308,03160202,03160201
18548516,03160201,03160203
18567443,03160111,03160112
18581899,03160110,03160109
18592162,03160109,03160112
18618514,03160107,03160106
18632638,03160106,03160201
18632666,03160113,03160201
18638240,03160108,03160106
18651220,03160105,03160106
18658666,03160104,03160101
18673970,03160103,03160101
18684506,03160102,03160101
18699157,03160101,03160106
20105349,03060109, 
20119322,03080202,03080203
20119506,03080203, 
20156409,03060110,03050208
20156487,03050207, 
20156537,03050210, 
20161695,03050208,03050207
21459206,03150203,03150204
21489440,03090101,03090206
21642458,03160203,03160204
21662438,03150202,03150203
21688872,03150201,03150203
21697448,03150110,03150201
22038761,03150109,03150110
22206815,03150106,03150107
22281118,03150107,03150201
22720777,03060107,03060106
22720895,03060103,03060106
22726625,03060106,03060109
24869016,03070104,03070106
25902183,03130014, 
26815201,03010203,03010205
27807481,03090103,03090201
166741121,03050209, 
166741838,03060203,03060204
166758628,03110203,03110205
933180307,03180002,03180003
272469,04030112, 
1755598,04010102, 
1793837,04010202,04010201
1799875,04010301, 
3398614,04040001, 
3468447,04050003,04050002
4576956,04150403,04150408
4587280,04150405,04150408
4795270,04010101, 
6790477,04020101, 
6800320,04030103,04030104
6810610,04030104, 
6821596,04030105, 
6833557,04030107,04030108
6848697,04030108, 
6859834,04030109,04030111
6863549,04030202,04030201
6863677,04030201,04030203
8992070,04060101, 
9005799,04050006, 
9019599,04050002, 
9521459,04150406,04150408
9527431,04150404,04150408
9841666,04120101, 
9848429,04110004,04110003
10314402,04150401,04150408
10850052,04090004, 
11938209,04020104,04020103
11939441,04020103, 
11947179,04020102, 
11962312,04030110,04030111
12005077,04030204, 
12012076,04030203,04030204
12014864,04030111, 
12017412,04020201,04030110
12018230,04020300, 
12025980,04020105, 
12121910,04060103, 
12135518,04060102, 
12145590,04050007,04050006
12162694,04040003, 
12169285,04040002, 
12174120,04030101, 
12184131,04020203, 
12186639,04020202,04020201
12206602,04070002,04070001
12211188,04070001,04020203
12214835,04060107, 
12222816,04060106, 
12228571,04060104, 
12233636,04050005,04050006
12242594,04050004,04050006
12257100,04050001, 
12497176,04070005,04070004
12501935,04070004, 
12917761,04080104,04080103
12925941,04080103, 
12936862,04080102, 
12945216,04080101, 
12953894,04070007,04070003
12960539,04070006,04070003
12960541,04070003, 
13009584,04080205,04080203
13017369,04080204,04080203
13039324,04080202,04080201
13048681,04080201,04080203
13057616,04060105, 
13065641,04030102,04030101
13176159,04090005,04090004
13189540,04090002, 
13189796,04090003,04090002
13199386,04090001,04090002
13203635,04080206, 
13229626,04100002, 
14446280,04030106,04030108
15448486,04150307, 
15448512,04150308, 
15465287,04150305, 
15475681,04150304, 
15483001,04150303,04150302
15489186,04150302, 
15505290,04150102, 
15506742,04150101, 
15537927,04130003,04140201
15548119,04130002,04130003
15561415,04130001, 
15568147,04120104, 
15576459,04120103, 
15581895,04120102, 
15588530,04110002,04110001
15604038,04100012, 
15623927,04100010, 
15634575,04100009, 
15644876,04100008,04100007
15650285,04100007,04100009
15663134,04100006,04100009
15667583,04100005,04100009
15669975,04100004,04100005
15679391,04100003,04100005
21624085,04140102, 
21633969,04140101, 
21972746,04140203, 
21974991,04140201,04140203
22030252,04140202,04140203
22220529,04150402,04150408
25020678,04150408, 
25068048,04150500, 
25110300,04010302, 
25293402,04150301, 
25371895,04150306, 
25769183,04100001, 
26976788,04080203,04080206
28033899,04100011, 
28123750,04110003, 
28125112,04110001, 
166176984,04150407,04150408
904010102,04010201, 
433830,05070201,05070204
454400,05100202,05100201
466204,05090103,05090201
868084,05100203,05100204
868086,05100201,05100204
868622,05100204,05100205
885149,05070203,05070204
908917,05070204,05090103
1086667,05070202,05070203
1824476,05100205,05140101
1842647,05140206,8020100
1918174,05090201,05090203
1939158,05090104,05090103
2056718,05100102,05100101
2099587,05100101,05090203
3370282,05090101,05090103
3408307,05090203,05140101
3489669,05060002,05090103
3575688,05130102,05130103
3575694,05130104,05130103
3577908,05130103,05130106
3717140,05020002,05020003
3768816,05020003,05020005
3773973,05020004,05020005
3786893,05020005,05030101
3813299,05020006,05020005
3824211,05030101,05030106
3886020,05080003,05080002
3886052,05080002,05090203
3936162,05090202,05090203
3965782,05090102,05090101
3986452,05080001,05080002
4005208,05110001,05110003
4041546,05110002,05110003
4352074,05020001,05020003
4548802,05050005,05050006
4582010,05010008,05010009
4754876,05010007,05010008
5217233,05060001,05060002
5235524,05060003,05060002
6877359,05010005,05010006
6906509,05050002,05050004
6913735,05050001,05050002
6919008,05050004,05050006
6925247,05050006,05050008
6931566,05050009,05050008
6937848,05070101,05070102
8975708,05010001,05010003
9053513,05010004,05010003
10083026,05120109,05120108
10110341,05140201,05140202
10164042,05140101,05140104
10170086,05130206,05130205
10177447,05130106,05130201
10181997,05130105,05130106
10192002,05130101,05130103
10209075,05120110,05120108
10210125,05120108,05120111
10222350,05010003,05010006
10286962,05120111,05120113
10300159,05140103,05140102
10339434,05120112,05120113
10358722,05140104,05140201
10359766,05140102,05140104
10384405,05120113,05140202
10424552,05120115,05120114
10442556,05120114,05120113
10561144,05140205,05140203
10928225,05030105,05030104
11049954,05010006,05010009
11050846,05010009,05030101
11618275,05110003,05110005
11619107,05110005,05140202
11623340,05110004,05110005
11866732,05140202,05140203
11866768,05140204,05140203
11870238,05140203,05140206
11878806,05130205,05140206
11895190,05110006,05110005
12110552,05050003,05050002
12999698,05030102,05030104
13157329,05030103,05030104
15365823,05040006,05040004
15371082,05040005,05040004
15385463,05040004,05030202
15400374,05040003,05040004
15411793,05040002,05040003
15424355,05030204,05030202
15434034,05030201,05030202
15445667,05010002,05010001
18393310,05130204,05130205
18401497,05130203,05130202
18409468,05130202,05130205
18416017,05130201,05130202
18421677,05130108,05130201
18432935,05130107,05130108
18440670,05120209,05120113
18446060,05120208,05120202
18451537,05120207,05120208
18455841,05120206,05120208
18458315,05120205,05120206
18461222,05120204,05120205
18465686,05120203,05120202
18471318,05120202,05120113
18477361,05120201,05120202
18490746,05120106,05120105
18500128,05120104,05120105
18503249,05120103,05120101
18506684,05120102,05120101
18509120,05120101,05120105
19293100,05070102,05090101
19317618,05050008,05090101
19325151,05050007,05050008
19392924,05040001,05040004
19425023,05030203,05030202
19443509,05030202,05090101
19455361,05030106,05030201
19464288,05030104,05030101
20097427,05120107,05120108
20101116,05120105,05120108
1861936,06040005,06040006
1868004,06040006,05140206
14643271,06010205,06010207
19488918,06010108,06010107
19514142,06040004,06040003
19537994,06040002,06040003
19542734,06040003,06040005
19542748,06040001,06040005
19567910,06030006,06030005
19578819,06030005,06040001
19607659,06030003,06030004
19623516,06030002,06030005
19623608,06030004,06030002
19663651,06020004,06030001
19670801,06020003,06020002
19678007,06020002,06020001
19712851,06010208,06010207
19720259,06010204,06010201
19730710,06010203,06010202
19745096,06010103,06010102
19753585,06010102,06010104
19763250,06010101,06010104
22125790,06010207,06010201
22134501,06010201,06020001
22144756,06010107,06010201
22149767,06010106,06010107
22159258,06010105,06010107
22181226,06010104,06010201
24830374,06010206,06010205
25306230,06010202,06010204
25311913,06030001,06030002
936020019,06020001,06030001
1852347,07030002,07030001
1874963,07010206,07040001
1878185,07040001,07040003
2028715,07040002,07040001
2117014,07040004,07040003
2118620,07040005,07040003
2121082,07040003,07040006
2268765,07030001,07030005
2349446,07010205,07010204
2367198,07010207,07010206
2386956,07020012,07010206
2389530,07020007,07020012
2423579,07020010,07020009
2463151,07040008,07060001
2515907,07110008,07110009
2632792,07030003,07030001
2639266,07030004,07030005
2651896,07030005,07040001
2723229,07010203,07010206
2747412,07020009,07020007
2932893,07110004,07110009
3598058,07130003,07130011
3607100,07130011,07110009
3624763,07110009,07140101
4047008,07020008,07020007
4104699,07020002,07020001
4110786,07020003,07020001
4120654,07020001,07020004
4123486,07020004,07020007
4136676,07020006,07020004
4251036,07010204,07010206
4417264,07020005,07020004
4622254,07010105,07010104
4636755,07140104,07140102
4816989,07010102,07010101
4835614,07010101,07010103
4841910,07010103,07010104
4860543,07010104,07010201
4869809,07110007,07110004
4947387,07010106,07010104
4959224,07010107,07010106
4963783,07010108,07010106
4973611,07010201,07010203
4980088,07010202,07010203
4991397,07110003,07110004
5002753,07100009,07110001
5018810,07110002,07110003
5027669,07140107,07140105
5052591,07140102,07140101
5076788,07140103,07140102
5090052,07140101,07140105
5093446,07140105,8020100
5248262,07140108,07140105
5640448,07110005,07110007
5803958,07110001,07110004
5915559,07130012,07130011
6561249,07080202,07080204
6565601,07080203,07080202
6572538,07080207,07080208
6580244,07100001,07100002
6588289,07100002,07100004
6591846,07100003,07100004
6597748,07100004,07100008
6603930,07100005,07100004
6610140,07100006,07100008
6619442,07100007,07100006
6950950,07080102,07080103
6966909,07080104,07110001
6983760,07080105,07080107
6996303,07080106,07080107
7006184,07080107,07080104
7017483,07080201,07080205
10596414,07020011,07020009
10603678,07090003,07090005
10614116,07090005,07080101
10969579,07090007,07090005
11923655,07080209,07080101
12993001,07050003,07050002
13085659,07050007,07050005
13098534,07050006,07050005
13109255,07050005,07040003
13125114,07050004,07050001
13125142,07050001,07050005
13140929,07040007,07040006
13208194,07040006,07060001
13211778,07060002,07060001
13216072,07060001,07070005
13296168,07090001,07090002
13298652,07090002,07090003
13325582,07060003,07060005
13326808,07060004,07060003
13330924,07070005,07060003
13352474,07050002,07050001
13383173,07060006,07060005
13400317,07070001,07070002
13426645,07090004,07090003
13445171,07120001,07120005
13451870,07120002,07120001
13464005,07120003,07120004
13558995,07130009,07130008
13564542,07130007,07130008
13573711,07130006,07130008
13598241,07130004,07130003
13608760,07130008,07130003
13618003,07130002,07130001
13626067,07070006,07070005
13772276,07140201,07140202
13786982,07140106,07140105
13804532,07130010,07130003
13883862,07140203,07140202
13890638,07140202,07140204
13894314,07140204,07140105
14702990,07070002,07070003
14711446,07070003,07070005
14763949,07120007,07120005
14771846,07120006,07120007
14790007,07120004,07120005
14804289,07060005,07080101
14807133,07080101,07080104
14835451,07120005,07130001
14839309,07130001,07130003
17540805,07080208,07080209
17557733,07080206,07080209
19287005,07090006,07090005
22249819,07100008,07100009
22477697,07080205,07080206
22482967,07080204,07080205
24869805,07080103,07080101
25317695,07110006,07110007
937070226,07070004,07070005
937130081,07130005,07130003
655200,08020201,08010100
734953,08020202,08020203
3671938,08020204,08020203
3682176,08020203,08020100
3712048,08080206, 
7487478,08010206,08010202
7487484,08010202,08010100
11065421,08090302,08080101
14065391,08010209,08010100
14073656,08010208,08010100
14077382,08010207,08010208
14113668,08010203,08010202
14126959,08010201,08010100
14190079,08010100,08020100
14201421,08010211,08020100
14210134,08010210,08010100
14239982,08010205,08010206
14239984,08010204,08010206
14867813,08020303,08020100
15075542,08080205,08080206
15078214,08080204,08080203
15088141,08080203,08080206
15140463,08080201,08080202
15166547,08040301,08080101
15183793,08080101, 
15208253,08070204,08090202
15217175,08040303,08040304
15222744,08040206,08040207
15237620,08040101,08040102
15259348,08030204,08030202
15277482,08030203,08030202
15314993,08020402,08020401
15336664,08020401,08020100
15356174,08020304,08020303
17938240,08030209,08030208
17941834,08030207,08030209
17948642,08030208,08030100
17948698,08030100,08060100
18021542,08030205,08030202
18022256,08030202,08030206
18045412,08030201,08030202
18055920,08020100,08030100
18719654,08070300,08090302
18932408,08090201,08090202
18975539,08070205,08090202
18990320,08070202,08070204
19053732,08070201,08070100
19112512,08060206,08060100
19113000,08060205,08060100
19122210,08060204,08060100
19143141,08060203,08060100
19188594,08060202,08060100
19227137,08060201,08060202
19269176,08060100,08070100
19305631,08050002,08050003
19352445,08050001,08040207
19370148,08040306,08040301
19374372,08040305,08040301
19375486,08040304,08050001
19384115,08040302,08040304
19432898,08040202,08040207
19435442,08040207,08050003
19435446,08050003,08040305
